Date,Count
3/13/1918,4
3/14/1918,3
3/15/1918,7
3/16/1918,3
3/17/1918,3
3/18/1918,6
3/19/1918,5
3/20/1918,2
3/21/1918,4
3/22/1918,3
3/23/1918,5
3/24/1918,7
3/25/1918,3
3/26/1918,67
3/27/1918,120
3/28/1918,57
3/29/1918,63
3/30/1918,144
3/31/1918,36
4/01/1918,19
4/02/1918,20
4/03/1918,15
4/04/1918,13
4/05/1918,152
4/06/1918,46
4/07/1918,23
4/08/1918,12
4/09/1918,15
4/10/1918,16
4/11/1918,13
4/12/1918,16
4/13/1918,9
4/14/1918,38
4/15/1918,9
4/16/1918,34
4/17/1918,25
4/18/1918,30
4/19/1918,14
4/20/1918,16
4/21/1918,14
4/22/1918,7
4/23/1918,14
4/24/1918,17
4/25/1918,11
4/26/1918,10
4/27/1918,11
4/28/1918,12
4/29/1918,16
4/30/1918,7
5/01/1918,7
5/02/1918,25
5/03/1918,10
5/04/1918,21
5/05/1918,5
5/06/1918,14
5/07/1918,14
5/08/1918,38
5/09/1918,23
5/10/1918,13
5/11/1918,5
5/12/1918,6
5/13/1918,3
5/14/1918,7
5/15/1918,16
5/16/1918,7
5/17/1918,9
5/18/1918,7
5/19/1918,7
5/20/1918,16
5/21/1918,10
5/22/1918,4
5/23/1918,6
5/24/1918,4
5/25/1918,8
5/26/1918,15
5/27/1918,11
5/28/1918,7
5/29/1918,2
5/30/1918,10
5/31/1918,9
6/01/1918,8
6/02/1918,4
6/03/1918,4
6/04/1918,5
6/05/1918,3
6/06/1918,3
6/07/1918,6
6/08/1918,4
6/09/1918,3
6/10/1918,6
6/11/1918,1
6/12/1918,4
6/13/1918,1
6/14/1918,1
6/15/1918,2
6/16/1918,2
6/17/1918,1
6/18/1918,1
6/19/1918,3
6/20/1918,3
6/21/1918,1
6/22/1918,1
6/23/1918,2
6/24/1918,2
6/25/1918,3
6/26/1918,1
6/27/1918,3
6/28/1918,5
6/29/1918,4
6/30/1918,1
7/01/1918,2
7/02/1918,3
7/03/1918,2
7/04/1918,1
7/05/1918,3
7/06/1918,1
7/07/1918,8
7/08/1918,2
7/09/1918,3
7/10/1918,4
7/12/1918,3
7/13/1918,5
7/14/1918,6
